iter	Passed	Remaining
0	2	239
1	4	212
2	6	207
3	7	189
4	9	187
5	11	175
6	12	168
7	14	164
8	18	191
9	20	185
10	22	183
11	24	177
12	25	173
13	31	193
14	33	189
15	34	182
16	36	177
17	37	172
18	39	167
19	41	167
20	43	165
21	45	160
22	46	156
23	48	152
24	49	148
25	50	144
26	52	140
27	54	138
28	56	137
29	60	141
30	62	138
31	63	134
32	64	131
33	66	129
34	69	129
35	72	128
36	73	125
37	75	122
38	76	120
39	78	117
40	80	115
41	80	111
42	81	108
43	83	105
44	84	103
45	87	102
46	88	100
47	89	97
48	91	95
49	92	92
50	93	90
51	95	87
52	96	85
53	98	83
54	99	81
55	100	79
56	102	77
57	105	76
58	106	73
59	107	71
60	109	70
61	111	68
62	116	68
63	119	66
64	120	64
65	124	64
66	126	62
67	127	60
68	129	58
69	130	55
70	132	54
71	134	52
72	135	50
73	137	48
74	138	46
75	139	44
76	142	42
77	144	40
78	145	38
79	147	36
80	148	34
81	149	32
82	150	30
83	152	29
84	154	27
85	157	25
86	159	23
87	161	21
88	163	20
89	165	18
90	167	16
91	168	14
92	170	12
93	172	11
94	173	9
95	175	7
96	176	5
97	179	3
98	181	1
99	182	0
